Jeff Ayres,LA Clippers,111444
Pablo Prigioni,LA Clippers,947726
Paul Pierce,LA Clippers,3376000
Anthony Brown,Los Angeles Lakers,700000
Brandon Bass,Los Angeles Lakers,3000000
D'Angelo Russell,Los Angeles Lakers,5103120
Julius Randle,Los Angeles Lakers,3132240
Kobe Bryant,Los Angeles Lakers,25000000
Larry Nance Jr.,Los Angeles Lakers,1155600
Louis Williams,Los Angeles Lakers,7000000
Nick Young,Los Angeles Lakers,5219169
Robert Sacre,Los Angeles Lakers,981348
Roy Hibbert,Los Angeles Lakers,15592217
Ryan Kelly,Los Angeles Lakers,1724250
Beno Udrih,Memphis Grizzlies,2170465
Brandan Wright,Memphis Grizzlies,5464000
Bryce Cotton,Memphis Grizzlies,700902
Chris Andersen,Memphis Grizzlies,5000000
Elliot Williams,Memphis Grizzlies,55722
James Ennis,Memphis Grizzlies,845059
JaMychal Green,Memphis Grizzlies,845059
Jarell Martin,Memphis Grizzlies,1230840
Jarrid Famous,Memphis Grizzlies,525093
Jeff Green,Memphis Grizzlies,9650000
Jordan Adams,Memphis Grizzlies,1404600
Lance Stephenson,Memphis Grizzlies,9000000
Marc Gasol,Memphis Grizzlies,19688000
Mario Chalmers,Memphis Grizzlies,4300000
Matt Barnes,Memphis Grizzlies,3542500
Mike Conley,Memphis Grizzlies,9588426
Russ Smith,Memphis Grizzlies,845059
Ryan Hollins,Memphis Grizzlies,239605
Tony Allen,Memphis Grizzlies,5158539
Vince Carter,Memphis Grizzlies,4088019
Zach Randolph,Memphis Grizzlies,9638555
Chris Bosh,Miami Heat,22192730
Dwyane Wade,Miami Heat,20000000
Goran Dragic,Miami Heat,14783000
Greg Whittington,Miami Heat,525093
Hassan Whiteside,Miami Heat,981348
Josh McRoberts,Miami Heat,5543725
Josh Richardson,Miami Heat,525093
Justise Winslow,Miami Heat,2481720
Luol Deng,Miami Heat,10151612
Tyler Johnson,Miami Heat,845059
Chris Copeland,Milwaukee Bucks,1150000
Damien Inglis,Milwaukee Bucks,855000
Giannis Antetokounmpo,Milwaukee Bucks,1953960
Greivis Vasquez,Milwaukee Bucks,6600000
Jabari Parker,Milwaukee Bucks,5152440
John Henson,Milwaukee Bucks,2943221
Khris Middleton,Milwaukee Bucks,14700000
Michael Carter-Williams,Milwaukee Bucks,2399040
Miles Plumlee,Milwaukee Bucks,2109294
Rashad Vaughn,Milwaukee Bucks,1733040
Tyler Ennis,Milwaukee Bucks,1662360
Adreian Payne,Minnesota Timberwolves,1938840
Andrew Wiggins,Minnesota Timberwolves,5758680
Damjan Rudez,Minnesota Timberwolves,1149500
Gorgui Dieng,Minnesota Timberwolves,1474440
John Lucas III,Minnesota Timberwolves,947276
Karl-Anthony Towns,Minnesota Timberwolves,5703600
Kevin Garnett,Minnesota Timberwolves,8500000
Nemanja Bjelica,Minnesota Timberwolves,3950001
Nikola Pekovic,Minnesota Timberwolves,12100000
Ricky Rubio,Minnesota Timberwolves,12700000
Shabazz Muhammad,Minnesota Timberwolves,2056920
Tyus Jones,Minnesota Timberwolves,1282080
Zach LaVine,Minnesota Timberwolves,2148360
Alexis Ajinca,New Orleans Pelicans,4389607
Alonzo Gee,New Orleans Pelicans,1320000
Anthony Davis,New Orleans Pelicans,7070730
Bryce Dejean-Jones,New Orleans Pelicans,169883
Dante Cunningham,New Orleans Pelicans,2850000
Eric Gordon,New Orleans Pelicans,15514031
Jordan Hamilton,New Orleans Pelicans,1015421
Jrue Holiday,New Orleans Pelicans,10595507
Luke Babbitt,New Orleans Pelicans,1100602
Norris Cole,New Orleans Pelicans,3036927
Omer Asik,New Orleans Pelicans,9213483
Quincy Pondexter,New Orleans Pelicans,3382023
Toney Douglas,New Orleans Pelicans,1164858
Tyreke Evans,New Orleans Pelicans,10734586
Arron Afflalo,New York Knicks,8000000
Carmelo Anthony,New York Knicks,22875000
Jerian Grant,New York Knicks,1572360
Jimmer Fredette,New York Knicks,874837
Jose Calderon,New York Knicks,7402812
Kevin Seraphin,New York Knicks,2814000
Kristaps Porzingis,New York Knicks,4131720
Kyle O'Quinn,New York Knicks,3750000
Lance Thomas,New York Knicks,1636842
Langston Galloway,New York Knicks,845059
Lou Amundson,New York Knicks,1635476
Robin Lopez,New York Knicks,12650000
Thanasis Antetokounmpo,New York Knicks,30888
Andre Roberson,Oklahoma City Thunder,1210800
Anthony Morrow,Oklahoma City Thunder,3344000
Cameron Payne,Oklahoma City Thunder,2021520
Dion Waiters,Oklahoma City Thunder,5138430
